n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
174  , L1_HTT500er                                                    , 1      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
180  , L1_ETM30                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
181  , L1_ETM40                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
182  , L1_ETM50                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
183  , L1_ETM60                                                       , 1500   , 1400   , 2800   , 2800   , 1200   , 2500   , Sum         , Slim          ,                                 ,     
184  , L1_ETM70                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
185  , L1_ETM75                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
186  , L1_ETM80                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
187  , L1_ETM85                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
188  , L1_ETM90                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
189  , L1_ETM95                                                       , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
190  , L1_ETM100                                                      , 0      , 0      , 0      , 0      , 1      , 0      , Sum         , Slim          ,                                 ,     
191  , L1_ETM105                                                      , 0      , 1      , 0      , 0      , 1      , 0      , Sum         , Slim          ,                                 ,     
192  , L1_ETM110                                                      , 1      , 1      , 0      , 0      , 1      , 1      , Sum         , Slim          ,                                 ,     
193  , L1_ETM115                                                      , 1      , 1      , 0      , 0      , 1      , 1      , Sum         , Slim          ,                                 ,     
194  , L1_ETM120                                                      , 1      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
195  , L1_ETM150                                                      , 1      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
200  , L1_ETMHF70                                                     , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
201  , L1_ETMHF80                                                     , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
202  , L1_ETMHF90                                                     , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
203  , L1_ETMHF100                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
207  , L1_ETMHF105                                                    , 0      , 0      , 0      , 0      , 1      , 0      , Sum         , Slim          ,                                 ,     
204  , L1_ETMHF110                                                    , 0      , 1      , 0      , 0      , 1      , 0      , Sum         , Slim          ,                                 , Add 
205  , L1_ETMHF120                                                    , 1      , 1      , 0      , 0      , 1      , 1      , Sum         , Slim          ,                                 ,     
206  , L1_ETMHF150                                                    , 1      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
#240 , L1_SingleMuOpen_NotBptxOR                                      , 24     , 22     , 22     , 22     , 20     , 20     , Cross       , EXO           , L1TDPG66                        ,     
#241 , L1_SingleMuOpen_NotBptxOR_3BX                                  , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , EXO           , L1TDPG66                        ,     
#242 , L1_SingleJet20er3p0_NotBptxOR                                  , 480    , 440    , 440    , 440    , 400    , 400    , Cross       , EXO           , L1TDPG66                        ,     
#243 , L1_SingleJet20er3p0_NotBptxOR_3BX                              , 0      , 0      , 0      , 0      , 0      , 0      , Cross       , EXO           , L1TDPG66                        ,     
#244 , L1_SingleJet43er3p0_NotBptxOR_3BX                              , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , EXO           , L1TDPG66                        ,     
#245 , L1_SingleJet46er3p0_NotBptxOR_3BX                              , 1      , 1      , 1      , 1      , 1      , 1      , Cross       , EXO           , L1TDPG66                        ,     
